r2
Best parameters set found on development set:
{'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}

Grid scores on development set:
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1, 'gamma': 1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1, 'gamma': 0.1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1, 'gamma': 0.01}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1, 'gamma': 0.001}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1, 'gamma': 0.0001}
-0.418 (+/-0.017) for {'epsilon': 1, 'C': 1, 'gamma': 1}
-0.417 (+/-0.021) for {'epsilon': 1, 'C': 1, 'gamma': 0.1}
-0.424 (+/-0.020) for {'epsilon': 1, 'C': 1, 'gamma': 0.01}
-0.428 (+/-0.021) for {'epsilon': 1, 'C': 1, 'gamma': 0.001}
-0.430 (+/-0.023) for {'epsilon': 1, 'C': 1, 'gamma': 0.0001}
-0.416 (+/-0.017) for {'epsilon': 0.1, 'C': 1, 'gamma': 1}
-0.410 (+/-0.018) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.1}
-0.416 (+/-0.018) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.01}
-0.425 (+/-0.020) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.001}
-0.428 (+/-0.022) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.0001}
-0.419 (+/-0.015) for {'epsilon': 0.01, 'C': 1, 'gamma': 1}
-0.411 (+/-0.017) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.1}
-0.416 (+/-0.018) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.01}
-0.424 (+/-0.020) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.001}
-0.428 (+/-0.022) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.0001}
-0.419 (+/-0.015) for {'epsilon': 0.001, 'C': 1, 'gamma': 1}
-0.411 (+/-0.017) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.1}
-0.416 (+/-0.018) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.01}
-0.424 (+/-0.020) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.001}
-0.428 (+/-0.022) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.0001}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 10, 'gamma': 1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 10, 'gamma': 0.1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 10, 'gamma': 0.01}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 10, 'gamma': 0.001}
